"Genre" "TypeFormation" "AnnéeFormation" "Statut" "Ecole" "Campus" "Implantation" "Accueil" "Qualité formation" "Hébergement" "Centre doc." "Eq. sportifs" "Vie campus" "Cadre de vie" "Sécurité" "Cond. vie générale"
"101" "Homme" "Ingénieur" "L1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Insatisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Satisfait"
"103" "Femme" "Master" "M2" "Etudiant" "Dijon" "Dijon" "Peu satisfait" "Peu satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Peu satisfait" "Peu satisfait" "Très satisfait" "Peu satisfait"
"104" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"105" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Insatisfait" "Peu satisfait" "Satisfait" "Satisfait" "Très satisfait"
"106" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"107" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Peu satisfait" "Satisfait"
"111" "Homme" "Master" "M1" "Apprenti" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Ne sais pas / non concerné" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait"
"112" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"113" "Homme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Insatisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"115" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Peu satisfait" "Satisfait"
"117" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Très satisfait" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Très satisfait" "Ne sais pas / non concerné" "Satisfait" "Très satisfait"
"118" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"119" "Homme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"120" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Ne sais pas / non concerné" "Peu satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Peu satisfait"
"121" "Femme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Très satisfait" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"122" "Homme" "Ingénieur" "L2" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Très satisfait"
"123" "Femme" "Ingénieur" "L1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait"
"125" "Homme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Satisfait"
"126" "Femme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"127" "Homme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Peu satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait"
"129" "Femme" "Ingénieur" "M1" "Apprenti" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"132" "Homme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Très satisfait" "Satisfait" "Insatisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"133" "Homme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"136" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Insatisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait"
"137" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait"
"138" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait"
"139" "Homme" "Master" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Peu satisfait" "Peu satisfait" "Insatisfait" "Peu satisfait" "Peu satisfait" "Peu satisfait" "Satisfait" "Peu satisfait" "Peu satisfait"
"140" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Insatisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait"
"141" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"142" "Femme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait"
"143" "Homme" "Ingénieur" "M1" "Apprenti" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"144" "Femme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Très satisfait" "Satisfait"
"145" "Homme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait"
"146" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Peu satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Peu satisfait"
"147" "Femme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait"
