"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"5175"	"methionine"	1	97	97	0.91	0	86.7	13.3	18.2	5.3	39.5	38.8	6.76	1.89	18.3	13	8094	31.89	3.32631579	168.3684211	33.48421053
"9881"	"methionine"	0	58	54	0.92	7	86.8	6.2	28.7	61	47.8	48.9	6.59	1.92	18.1	17	9068	30.29	3.339130435	176.9565217	30.99565217
"8498"	"methionine"	1	110	113	0.94	0	87.1	12.9	16.6	77.1	39.7	34.2	6.93	1.81	18.6	13	7706	31.49	1.118181818	191.3636364	33.62727273
"1329"	"temoin"	0	94	93	0.93	0	87.5	12.5	21.6	20	44.4	40.5	6.82	1.81	20.4	20	8267	31.09	1.175	138.875	32.55416667
"2533"	"temoin"	1	82	77	0.93	0	87.5	12.5	24.8	58.3	44.6	43.1	6.78	1.87	21.3	14	7309	31.19	5.7375	143.9375	32.3375
"1661"	"methionine"	0	122	121	0.94	0	87.6	12.4	16.6	0	38.6	34	6.89	1.79	21.2	11	8184	31.69	2.589655172	132	32.74137931
"3006"	"methionine"	1	92	93	0.95	0	87.8	12.2	19.2	75	41.2	35.4	6.93	1.8	18.3	7	6687	30.99	0.435714286	200.9642857	32.55357143
"4907"	"temoin"	0	134	137	0.92	0	88.2	11.8	14.2	100	38.1	31.9	6.95	1.8	19.8	12	7465	30.09	1.782857143	184.2571429	33.37714286
"4373"	"methionine"	1	89	83	0.93	0	88.6	11.4	21.4	53.1	41.6	38.6	6.84	1.84	20.1	11	6171	32.29	3.733333333	129.0833333	31.41666667
"7822"	"temoin"	1	101	105	0.95	0	88.8	11.2	18.8	0	41.4	40	6.68	1.86	18.7	8	7496	29.69	2.571428571	209.9047619	31.3
"2893"	"temoin"	1	91	93	0.97	0	88.8	11.2	21.7	100	46.7	41.7	6.91	1.79	19.4	7	6114	32.19	-0.183333333	251.5	36.90833333
